bitcoin_cash,bitcoin,bitconnect,dash,ethereum_classic,ethereum,iota,litecoin,nem,monero,numeraire,omisego,neo,ripple,stratis,qtum,waves
1418.73,11403.7,3.52,685.04,38.47,895.37,1.91,232.85,0.484397,304.4,23.84,18.4,128.36,1.09,9.13,31.11,8.03
1534.77,11225.3,3.95,728.73,39.29,943.87,2.09,223.06,0.529261,316.49,24.42,17.69,137.47,1.14,9.95,32.66,8.1
1487.46,10551.8,3.7,689.28,34.88,923.92,1.98,215.74,0.530407,300.12,20.43,16.66,127.38,1.12,9.26,31.24,7.54
1551.39,11112.7,4.31,742.16,34.99,974.12,2.2,229.47,0.59888,325.67,23.25,18.29,136.75,1.2,9.76,33.56,7.84
1552.2,10233.9,4.13,698.86,35.03,944.21,2.1,230.12,0.568887,296.48,21.25,18.17,128.85,1.14,9.56,33.02,7.9
1375.81,10166.4,4.04,703.86,34.53,936.98,2.13,225.43,0.561359,303.25,22.16,16.67,123.29,1.15,9.54,33.06,8.07
1362.27,9494.63,3.73,678.98,35.04,923.56,2.03,213.36,0.570005,276.66,22.1,15.66,122.52,1.14,9.36,32.55,6.42
1231.98,8598.31,3.03,595.47,33.96,845.26,1.81,159.55,0.5331859999999999,234.69,20.18,12.99,111.17,1.03,7.95,30.11,5.6
1283.91,8926.57,3.01,620.56,29.88,868.71,1.87,161.57,0.557894,247.57,21.98,12.84,113.25,1.08,7.9,30.13,5.72
1217.64,8129.97,2.25,580.02,24.13,814.66,1.7,148.99,0.52864,229.49,18.31,11.86,103.4,1.0,6.99,27.48,5.45
1257.31,8621.9,2.39,634.1,24.52,860.41,1.86,155.59,0.590511,250.03,19.39,12.51,110.63,1.07,7.86,30.27,5.72
1312.11,8736.98,2.19,637.82,26.0,883.87,1.96,163.95,0.590486,260.43,16.16,13.2,117.57,0.954428,8.21,31.16,6.04
1284.56,8265.59,2.34,605.0,21.79,817.81,1.78,149.47,0.543094,247.22,15.53,11.89,112.43,0.8052630000000001,7.35,26.48,5.58
957.96,7621.3,2.46,521.99,18.16,757.07,1.6,138.2,0.536718,207.28,15.84,10.9,102.5,0.723895,6.49,21.78,4.97
974.52,7754.0,5.58,528.5,19.39,793.12,1.62,142.99,0.5842,212.29,15.15,11.37,105.95,0.776393,6.86,24.05,5.06
887.41,6955.27,4.29,451.43,16.53,697.95,1.45,125.33,0.449672,179.49,13.35,9.27,82.37,0.6917989999999999,6.09,20.54,4.54
1165.38,8277.01,5.54,549.96,21.04,834.68,1.74,148.03,0.55087,221.05,15.8,12.06,107.45,0.815703,7.99,26.19,5.74
1272.5,9174.91,6.51,637.37,24.2,964.02,1.99,160.25,0.628795,251.59,19.95,14.05,122.97,0.9240430000000001,9.66,29.93,6.63
1191.14,8830.75,6.69,586.88,23.07,915.78,1.81,131.38,0.5826520000000001,235.63,17.77,13.25,120.13,0.884784,9.33,30.26,6.2
1274.35,9170.54,8.89,617.04,24.97,1036.79,1.91,142.3,0.618265,240.97,19.01,13.99,126.0,0.9625299999999999,10.15,35.68,6.67
1486.89,10221.1,8.73,697.46,28.76,1118.31,2.31,163.35,0.779857,272.89,21.6,15.74,145.76,1.16,12.29,42.12,7.68
1470.55,10106.3,6.01,676.91,27.13,1071.13,2.22,165.28,0.7764909999999999,274.02,22.64,14.92,146.28,1.14,11.97,37.33,7.61
1657.14,11296.4,7.01,767.69,31.71,1182.36,2.58,181.66,0.9354309999999999,316.63,26.88,16.91,168.14,1.32,14.82,43.41,8.71
1746.25,11786.3,8.32,812.24,32.9,1246.01,2.52,193.87,1.03,332.17,29.65,17.09,152.16,1.4,14.64,43.76,9.2
1628.63,11440.7,10.53,773.84,29.49,1107.07,2.45,180.89,1.06,321.36,28.68,15.98,140.2,1.22,14.42,39.58,9.11
1603.9,11171.4,11.18,782.41,28.8,1055.17,2.37,176.73,0.839974,323.69,26.59,16.58,137.89,1.22,13.37,39.7,8.96
1642.12,11259.4,12.59,795.65,29.19,1056.03,2.37,180.27,0.9491,317.1,27.87,17.96,138.0,1.31,12.68,40.72,9.06
1639.13,11359.4,13.26,775.11,29.6,1058.78,2.43,179.99,0.96375,317.4,28.27,17.85,136.41,1.36,12.64,40.51,8.81
1621.46,10868.4,16.05,757.34,28.37,986.23,2.5,177.81,0.942383,308.46,27.12,16.05,121.6,1.34,12.46,39.15,8.2
1621.92,10931.4,16.76,763.2,29.26,1003.26,2.47,180.01,0.9914649999999999,315.9,27.4,15.66,123.66,1.36,11.73,39.97,8.3
1776.64,11600.1,17.86,818.27,30.32,1049.58,2.77,190.42,1.07,345.08,27.54,16.97,131.09,1.38,13.29,42.82,8.27
2032.12,12899.2,21.81,926.12,35.01,1155.15,3.0,211.02,1.21,383.79,34.45,19.71,149.94,1.58,16.1,51.26,9.6
1769.62,11607.4,29.11,846.16,31.7,1039.1,2.7,192.96,1.1,364.62,33.52,18.43,139.5,1.55,14.84,39.19,8.78
1756.75,11474.9,37.68,835.49,30.19,1036.28,2.75,192.84,1.08,316.47,32.91,17.73,142.66,1.6,14.59,37.37,8.6
1748.05,11188.6,22.48,793.57,29.12,1014.25,2.72,186.52,1.02,319.19,28.58,18.06,141.37,1.31,14.74,36.47,8.09
1772.07,11490.5,19.28,759.62,28.46,1053.69,2.6,188.33,1.03,320.04,28.97,17.38,145.3,1.18,14.94,36.03,8.39
2401.54,13819.8,256.07,939.19,40.5,1291.92,3.48,232.77,1.39,414.57,39.06,22.46,187.41,1.68,20.81,52.58,10.77
2553.32,13772.0,293.36,1014.07,42.96,1366.77,3.74,238.68,1.39,399.52,46.15,23.83,170.42,1.86,19.93,54.08,11.09
2685.29,14360.2,318.02,1100.26,42.39,1396.42,3.94,259.19,1.51,420.05,52.16,25.72,140.62,2.02,19.96,54.7,11.83
2620.99,13980.6,322.98,1054.87,36.4,1273.2,3.69,236.86,1.44,394.78,44.02,22.84,124.47,2.04,18.69,50.41,11.34
2462.61,13405.8,302.19,1007.88,32.79,1154.93,3.37,229.37,1.31,355.59,41.8,21.66,108.3,1.95,16.09,45.75,10.71
2895.38,14973.3,327.27,1106.36,36.95,1255.82,3.78,250.52,1.45,407.74,49.0,23.35,122.99,1.97,19.24,54.08,12.74
2391.56,14595.4,353.23,1111.86,38.32,1299.74,3.54,247.04,1.54,413.33,45.17,25.29,126.94,2.1,19.53,53.21,12.99
2421.47,15170.1,361.85,1087.75,34.19,1148.53,3.85,255.76,1.65,405.07,48.65,23.89,102.38,2.46,21.75,55.98,13.63
2786.88,16477.6,376.96,1285.43,40.79,1153.17,4.07,288.45,1.84,459.33,41.86,24.41,102.43,3.38,17.05,85.77,12.95
2786.65,17527.0,449.47,1265.03,38.42,1041.68,3.94,296.45,1.65,452.77,32.35,19.31,100.86,3.09,16.19,94.67,12.86
2584.48,17429.5,402.82,1152.41,36.2,997.72,3.75,249.27,1.59,384.94,31.55,18.69,95.28,3.05,15.19,62.7,12.06
2430.18,15599.2,428.53,1229.79,36.32,980.92,4.08,241.37,1.64,403.05,37.48,19.93,99.11,3.2,16.06,57.47,12.54
2608.69,15201.0,447.53,1170.74,34.86,962.72,4.13,245.37,1.79,412.06,37.99,20.54,105.56,3.11,16.96,59.09,12.99
2711.0,14982.1,428.6,1217.72,34.92,884.44,4.0,255.68,1.16,383.42,37.62,20.3,90.33,2.48,16.08,60.72,13.35
2432.54,13657.2,385.5,1053.98,34.17,772.64,3.97,229.03,1.04,358.99,39.87,19.33,78.82,2.39,15.7,60.88,12.57
2533.01,14156.4,418.96,1051.68,28.0,756.73,3.55,232.1,1.03,349.03,32.97,19.89,75.96,2.3,14.03,62.4,12.6
2392.41,12952.2,384.56,1011.47,26.92,717.26,3.34,218.96,0.926883,330.8,28.77,16.57,72.4,2.16,13.0,60.49,11.81
