bitcoin_cash,bitcoin,bitconnect,dash,ethereum_classic,ethereum,iota,litecoin,nem,monero,numeraire,omisego,neo,ripple,stratis,qtum,waves
"26,199,800,000","189,536,000,000","36,680,600","5,754,970,000","3,940,010,000","92,206,500,000","5,800,510,000","12,335,100,000","4,762,190,000","4,989,710,000","31,586,100","1,808,000,000","8,966,490,000","44,648,100,000","978,923,000","2,417,680,000","810,038,000"
"25,179,700,000","178,055,000,000","34,058,900","5,427,640,000","3,467,860,000","90,047,700,000","5,521,610,000","11,907,900,000","4,760,950,000","4,716,460,000","26,292,900","1,682,870,000","8,270,290,000","43,813,300,000","914,001,000","2,321,060,000","753,733,000"
"26,344,200,000","187,663,000,000","40,037,400","5,871,020,000","3,498,390,000","95,077,100,000","6,121,620,000","12,738,800,000","5,357,680,000","5,128,420,000","29,298,400","1,869,770,000","8,866,100,000","46,997,500,000","963,499,000","2,473,010,000","784,044,000"
"26,280,100,000","172,191,000,000","37,708,600","5,515,090,000","3,493,650,000","92,264,000,000","5,842,140,000","12,679,700,000","5,091,170,000","4,655,820,000","27,463,300","1,853,770,000","8,516,620,000","44,370,200,000","940,978,000","2,450,940,000","788,332,000"
"23,302,000,000","170,960,000,000","37,459,600","5,540,570,000","3,439,180,000","91,272,100,000","5,894,520,000","12,455,300,000","5,040,780,000","4,733,640,000","28,525,200","1,701,370,000","7,996,380,000","44,663,300,000","938,100,000","2,440,380,000","800,093,000"
"23,053,300,000","160,025,000,000","35,618,900","5,359,910,000","3,477,970,000","90,173,300,000","5,635,360,000","11,725,700,000","5,121,400,000","4,340,620,000","28,493,800","1,594,790,000","7,930,300,000","44,433,600,000","914,277,000","2,394,940,000","641,992,000"
"20,854,300,000","145,023,000,000","28,162,900","4,679,080,000","3,426,860,000","82,400,600,000","5,052,450,000","8,809,590,000","4,787,280,000","3,683,460,000","26,338,300","1,323,570,000","7,206,140,000","40,026,500,000","780,623,000","2,219,240,000","558,952,000"
"21,803,000,000","150,516,000,000","27,695,200","4,902,660,000","2,982,730,000","84,824,200,000","5,211,600,000","8,928,360,000","5,041,770,000","3,897,150,000","28,094,400","1,314,360,000","7,386,420,000","42,119,800,000","782,976,000","2,231,570,000","574,298,000"
"20,735,400,000","137,258,000,000","20,673,000","4,591,910,000","2,425,800,000","79,754,400,000","4,763,780,000","8,282,050,000","4,789,980,000","3,611,420,000","23,825,800","1,219,240,000","6,771,600,000","39,262,700,000","694,445,000","2,037,250,000","548,602,000"
"21,295,600,000","145,245,000,000","21,665,700","4,989,410,000","2,447,400,000","83,813,000,000","5,165,180,000","8,571,530,000","5,308,410,000","3,917,970,000","25,660,900","1,279,750,000","7,179,000,000","41,635,500,000","774,245,000","2,231,910,000","571,865,000"
"22,249,700,000","146,981,000,000","20,226,800","5,035,300,000","2,588,640,000","86,055,600,000","5,437,920,000","9,015,890,000","5,385,460,000","4,092,070,000","20,936,000","1,346,830,000","7,618,880,000","36,951,500,000","815,645,000","2,277,460,000","606,151,000"
"21,601,200,000","139,412,000,000","21,567,800","4,776,920,000","2,182,530,000","79,799,300,000","4,953,720,000","8,254,980,000","4,898,410,000","3,890,810,000","20,163,900","1,246,080,000","7,279,310,000","31,095,800,000","721,390,000","2,052,790,000","559,784,000"
"16,133,900,000","128,714,000,000","22,272,200","4,100,000,000","1,809,300,000","73,676,900,000","4,475,690,000","7,624,630,000","4,826,200,000","3,261,220,000","20,063,700","1,110,480,000","6,763,560,000","28,447,500,000","634,084,000","1,621,640,000","492,456,000"
"16,462,900,000","130,683,000,000","51,017,500","4,128,770,000","1,912,010,000","77,032,000,000","4,491,550,000","7,851,100,000","5,239,020,000","3,306,780,000","19,444,500","1,155,150,000","6,833,700,000","30,215,600,000","674,637,000","1,779,020,000","501,033,000"
"15,103,100,000","118,810,000,000","39,655,600","3,572,920,000","1,669,530,000","68,958,700,000","4,104,810,000","7,024,630,000","4,103,650,000","2,837,430,000","17,313,100","949,742,000","5,464,510,000","27,506,200,000","600,848,000","1,545,600,000","453,888,000"
