bitcoin_cash,bitcoin,bitconnect,dash,ethereum_classic,ethereum,iota,litecoin,nem,monero,numeraire,omisego,neo,ripple,stratis,qtum,waves
1543.27,11231.8,3.97,728.99,39.41,943.57,2.09,223.09,0.529133,317.0,24.47,17.72,137.95,1.14,9.91,32.72,8.1
1483.34,10552.6,3.69,687.7,34.69,921.67,1.99,215.41,0.528994,299.7,20.37,16.49,127.23,1.12,9.26,31.41,7.54
1552.1,11123.4,4.34,744.09,35.01,973.35,2.2,230.51,0.595298,325.96,22.69,18.32,136.4,1.2,9.76,33.47,7.84
1548.48,10207.5,4.08,699.13,34.97,944.75,2.1,229.5,0.565686,296.0,21.24,18.17,131.03,1.14,9.53,33.17,7.88
1373.16,10135.7,4.06,702.53,34.43,934.79,2.12,225.5,0.560086,301.01,22.06,16.67,123.02,1.14,9.5,33.03,8.0
1358.65,9488.32,3.86,679.79,34.83,923.73,2.03,212.35,0.569045,276.08,22.04,15.63,122.0,1.14,9.26,32.42,6.42
1229.18,8599.92,3.05,593.59,34.32,844.28,1.82,159.58,0.53192,234.34,20.37,12.97,110.86,1.03,7.91,30.04,5.59
1285.23,8926.72,3.0,622.12,29.88,869.29,1.87,161.78,0.5601970000000001,247.99,21.73,12.88,113.64,1.08,7.93,30.21,5.74
1222.43,8141.43,2.24,582.83,24.31,817.51,1.71,150.1,0.532219,229.87,18.43,11.95,104.18,1.01,7.03,27.58,5.49
1255.59,8616.13,2.35,633.43,24.53,859.29,1.86,155.39,0.589823,249.44,19.85,12.54,110.45,1.07,7.84,30.21,5.72
1311.99,8720.08,2.19,639.42,25.95,882.47,1.96,163.49,0.598384,260.59,16.17,13.2,117.21,0.9472510000000001,8.26,30.83,6.06
1273.87,8271.84,2.34,606.76,21.89,818.48,1.78,149.73,0.544268,247.82,15.57,12.21,111.99,0.79714,7.31,27.79,5.6
951.57,7637.86,2.42,520.91,18.15,755.84,1.61,138.34,0.536245,207.78,15.49,10.88,104.06,0.729252,6.42,21.95,4.92
971.08,7755.49,5.54,524.7,19.18,790.43,1.62,142.48,0.582114,210.73,15.02,11.32,105.13,0.774576,6.83,24.09,5.01
890.97,7051.75,4.31,454.17,16.75,707.74,1.48,127.52,0.45596099999999995,180.87,13.37,9.31,84.07,0.705121,6.09,20.93,4.54
1159.89,8270.54,5.49,545.32,20.76,834.96,1.75,148.73,0.54898,219.04,15.65,11.92,107.58,0.825943,7.94,26.24,5.71
1273.17,9175.7,6.55,637.01,24.19,964.67,1.98,160.38,0.627271,251.97,20.01,14.09,122.22,0.9134180000000001,9.66,29.72,6.64
1194.23,8852.12,6.7,589.17,23.15,919.21,1.81,131.4,0.584534,236.51,17.98,13.35,121.03,0.891992,9.4,30.39,6.21
1272.5,9142.28,8.91,616.62,24.95,1035.77,1.9,142.56,0.613639,240.84,18.96,13.97,125.64,0.960642,10.1,35.56,6.65
1491.12,10237.3,8.59,698.79,28.77,1119.37,2.31,163.68,0.791554,273.88,21.65,15.85,145.96,1.16,12.36,42.1,7.7
1470.74,10108.2,5.97,678.93,27.21,1071.09,2.22,165.3,0.785675,274.9,22.45,14.9,145.4,1.13,11.99,37.3,7.63
1657.69,11306.8,7.0,767.73,31.77,1184.13,2.59,181.44,0.935732,317.36,26.89,16.89,168.86,1.33,14.87,43.6,8.71
1745.36,11755.5,8.27,811.84,33.21,1246.7,2.52,193.75,1.03,331.77,29.62,17.15,152.08,1.4,14.62,43.84,9.19
1636.41,11475.3,10.64,777.05,29.62,1111.78,2.46,181.42,1.06,322.96,28.89,16.06,140.37,1.22,14.45,39.74,9.17
1602.5,11174.9,11.17,782.87,28.76,1055.75,2.38,176.66,0.843234,325.31,26.56,16.6,138.14,1.22,13.46,39.77,8.95
1637.19,11256.0,12.57,793.92,29.1,1052.7,2.36,179.82,0.944931,316.6,27.79,17.93,137.75,1.31,12.64,40.41,9.04
1661.04,11421.7,12.8,788.77,29.89,1063.22,2.46,181.56,0.9733860000000001,322.17,28.87,18.05,138.09,1.36,12.84,40.93,8.92
1622.15,10903.4,15.94,757.11,28.47,987.48,2.52,178.43,0.9472149999999999,308.93,27.11,16.05,122.57,1.35,12.37,39.05,8.2
1623.14,10944.5,16.69,763.13,29.28,1004.17,2.47,180.28,0.9870909999999999,315.31,27.43,15.66,123.37,1.35,11.55,40.03,8.28
1794.46,11633.1,18.08,825.69,30.59,1055.35,2.78,191.79,1.08,348.91,27.34,17.14,132.3,1.39,13.43,43.19,8.38
2033.7,12889.2,21.72,928.13,35.49,1155.68,3.01,211.24,1.22,384.53,34.62,19.74,150.23,1.58,16.06,51.71,9.65
1784.26,11656.2,29.33,853.05,32.09,1044.95,2.71,194.38,1.1,367.63,33.88,18.63,140.49,1.56,14.98,39.22,8.88
1740.17,11429.8,35.68,833.3,30.03,1028.82,2.75,191.19,1.07,314.13,32.79,17.62,141.25,1.58,14.41,36.97,8.51
1752.27,11198.8,23.84,800.02,29.24,1016.44,2.72,186.95,1.03,320.6,28.88,18.23,142.6,1.31,14.84,36.05,8.48
1767.58,11431.1,21.7,758.29,28.38,1061.34,2.6,190.15,0.9764729999999999,318.93,28.75,17.3,144.72,1.18,14.93,35.54,8.36
2406.86,13836.1,255.91,937.57,40.49,1292.63,3.47,232.82,1.38,415.93,39.08,22.5,187.97,1.68,20.85,52.23,10.83
2541.58,13767.3,290.84,1006.43,42.68,1365.21,3.72,237.29,1.39,396.02,45.46,23.7,170.1,1.86,19.67,54.07,11.02
2687.1,14370.8,318.31,1098.06,42.89,1397.48,3.93,260.58,1.51,420.34,53.12,25.72,140.56,2.02,19.94,54.83,11.85
2617.66,13952.4,322.83,1054.88,36.18,1270.47,3.7,236.88,1.46,393.04,42.46,22.83,124.15,2.05,18.62,50.45,11.35
2475.9,13453.9,300.1,1013.06,33.06,1158.29,3.38,229.79,1.31,358.62,42.14,21.7,109.19,1.94,16.18,46.01,10.78
2891.55,14968.2,324.83,1103.03,36.91,1268.09,3.78,251.52,1.45,406.08,48.55,23.46,123.1,1.98,19.26,53.65,12.65
2390.02,14588.5,353.65,1115.48,38.13,1300.34,3.56,248.07,1.55,413.25,47.04,25.4,127.23,2.13,19.35,53.42,13.04
2412.36,15123.7,360.25,1085.75,34.09,1146.0,3.84,254.61,1.67,403.71,47.51,23.84,102.07,2.44,21.94,55.78,13.53
2786.6,16476.2,375.03,1283.36,41.12,1158.26,4.07,287.73,1.83,458.35,40.86,24.39,102.12,3.36,17.03,86.17,12.85
2784.68,17527.3,449.02,1266.43,38.44,1043.01,3.95,296.05,1.66,456.15,32.33,19.31,101.12,3.09,16.07,94.06,12.87
2583.71,17462.1,402.66,1157.09,36.31,995.15,3.75,249.77,1.58,385.37,31.69,18.7,95.31,3.02,15.1,62.95,12.02
2400.74,15477.2,428.6,1221.63,36.17,975.75,4.06,241.03,1.69,402.38,36.08,19.81,98.91,3.3,16.0,57.39,12.45
2608.87,15270.7,450.46,1173.71,34.44,961.71,4.13,245.47,1.84,414.41,38.19,20.6,104.79,3.12,16.84,59.06,13.06
2700.55,14978.2,428.23,1208.84,34.91,886.0,4.0,255.69,1.15,382.74,37.72,20.15,90.3,2.46,16.09,60.54,13.32
2434.5,13625.0,385.47,1055.14,34.46,772.35,4.09,228.99,1.04,359.06,40.96,19.34,78.53,2.37,15.84,61.19,12.54
2534.82,14112.2,420.98,1054.07,28.05,755.76,3.56,231.67,1.04,349.55,33.81,19.6,76.19,2.3,14.07,62.31,12.63
2376.96,12897.7,380.71,1002.99,26.74,712.21,3.3,216.97,0.917415,329.0,27.98,16.01,72.56,2.1,12.86,60.2,11.7
2791.55,14681.9,461.94,1147.48,30.04,753.82,3.7,245.09,1.05,378.52,33.08,15.95,74.18,2.2,15.13,58.68,13.64
2587.3,14695.8,413.53,1165.88,29.65,740.39,3.7,250.35,0.9126200000000001,381.3,36.74,15.16,65.7,1.44,14.44,56.35,12.87
2888.64,15864.1,420.53,1188.51,32.16,762.21,3.72,272.13,0.94431,422.51,34.34,15.0,66.76,1.39,13.78,54.44,13.58
3108.32,16163.5,397.43,1227.95,32.83,774.97,3.81,286.59,0.9836159999999999,381.3,32.13,15.25,65.53,1.18,14.98,55.76,14.32
2947.74,14036.6,219.87,1173.71,32.46,763.37,3.49,273.11,0.999341,361.08,34.28,15.6,66.61,1.12,15.15,58.22,14.31
2929.35,13995.9,244.16,1190.53,30.91,698.87,3.49,277.49,1.04,339.69,27.77,14.54,60.27,1.05,14.39,54.0,13.93
3260.55,14608.2,291.72,1286.73,33.0,721.77,3.61,291.01,0.940283,391.01,25.59,14.53,59.32,1.18,13.49,56.71,14.47
2746.95,13948.7,292.51,1198.74,31.54,681.32,3.51,269.27,0.8366459999999999,349.76,23.31,13.16,56.32,1.17,10.02,50.84,12.67
3324.0,15898.0,341.75,1441.9,42.42,822.64,5.08,319.26,1.01,419.53,30.02,17.53,71.54,1.17,12.91,63.27,16.14
3909.0,16642.4,363.26,1555.59,43.86,820.24,5.08,314.66,0.949966,470.29,27.35,17.87,76.12,0.782515,11.22,63.82,15.29
2825.03,17760.3,387.11,1184.92,40.37,827.52,5.37,349.6,0.941401,375.71,27.47,18.19,71.31,0.787171,11.97,67.72,16.02
2199.06,19118.3,430.55,1165.03,39.41,793.9,4.24,359.13,0.85139,381.07,28.94,18.5,77.19,0.777447,12.76,51.96,15.63
1869.21,19106.4,428.94,1110.16,34.85,721.73,3.95,318.95,0.686663,353.07,26.19,16.2,68.45,0.728036,11.26,29.66,13.63
1812.33,19475.8,457.7,1014.51,34.78,696.24,3.65,301.78,0.656408,328.06,23.97,14.19,49.74,0.754125,10.58,29.19,13.39
1824.85,17760.3,400.71,901.22,32.03,686.19,3.91,299.34,0.587655,312.61,23.79,11.84,48.14,0.7554930000000001,9.85,30.15,13.56
1974.66,16601.3,373.81,943.32,32.02,696.38,3.77,280.97,0.601422,325.61,22.78,11.45,50.54,0.8617600000000001,9.81,20.68,13.55
1600.67,16384.6,365.37,884.21,29.64,700.59,4.06,301.2,0.5359649999999999,303.26,23.21,10.7,44.9,0.47064799999999996,9.45,17.16,13.56
1616.99,17500.0,388.2,925.02,30.29,644.91,4.72,315.36,0.529258,307.43,23.79,10.36,40.73,0.372689,10.13,14.81,15.23
1427.38,16919.8,380.64,765.96,27.75,522.29,4.26,212.46,0.495342,281.49,23.06,9.07,36.22,0.252258,10.77,13.57,11.23
1320.0,15427.4,371.31,688.55,26.48,440.36,4.14,148.26,0.39392,244.95,22.38,7.95,33.32,0.23657399999999998,9.21,11.02,9.73
1411.84,15168.4,374.78,723.23,29.22,472.79,4.66,155.63,0.44470200000000004,262.9,22.84,8.59,35.79,0.245548,9.23,12.09,8.76
1464.63,16523.3,409.58,727.64,29.77,457.34,5.05,127.48,0.684188,277.27,20.55,8.43,35.96,0.252162,9.0,12.77,8.41
1329.16,17802.9,447.95,700.68,26.89,434.99,4.14,98.33,0.23503800000000002,281.31,21.11,7.88,34.84,0.223636,8.8,12.53,8.71
1430.71,14266.1,368.22,699.99,27.9,426.37,4.47,99.98,0.271419,277.87,21.07,8.62,35.04,0.232623,7.57,11.95,8.52
1498.49,11923.4,331.14,756.01,30.49,462.6,3.81,102.48,0.2997,268.16,25.75,10.11,38.75,0.245416,7.4,13.12,7.38
1580.16,11685.7,331.34,774.71,30.4,470.29,2.8,104.28,0.285916,211.13,28.12,10.41,41.99,0.253598,7.55,13.69,6.69
1560.16,11315.4,292.85,770.57,30.44,466.05,1.89,101.4,0.277127,199.56,26.08,9.42,36.65,0.252919,6.15,13.15,6.21
1435.36,11082.7,318.83,778.78,30.77,463.7,1.44,100.19,0.251818,203.37,28.08,9.3,35.09,0.25553000000000003,5.92,13.03,6.09
