"","Date","Prix","Variation 24h"
"1",2016-01-01,"1 BTC = 391.97000000€","-0.81%"
"2",2016-01-02,"1 BTC = 396.94000000€","1.25%"
"3",2016-01-03,"1 BTC = 400.52000000€","0.89%"
"4",2016-01-04,"1 BTC = 399.81000000€","-0.18%"
"5",2016-01-05,"1 BTC = 396.66000000€","-0.79%"
"6",2016-01-06,"1 BTC = 400.14000000€","0.87%"
"7",2016-01-07,"1 BTC = 401.80000000€","0.41%"
"8",2016-01-08,"1 BTC = 401.23000000€","-0.14%"
"9",2016-01-09,"1 BTC = 419.31000000€","4.31%"
"10",2016-01-10,"1 BTC = 415.82000000€","-0.84%"
"11",2016-01-11,"1 BTC = 412.17000000€","-0.89%"
"12",2016-01-12,"1 BTC = 410.07000000€","-0.51%"
"13",2016-01-13,"1 BTC = 415.18000000€","1.23%"
"14",2016-01-14,"1 BTC = 412.73000000€","-0.59%"
"15",2016-01-15,"1 BTC = 399.57000000€","-3.29%"
"16",2016-01-16,"1 BTC = 397.04000000€","-0.64%"
"17",2016-01-17,"1 BTC = 343.91000000€","-15.45%"
"18",2016-01-18,"1 BTC = 356.13000000€","3.43%"
"19",2016-01-19,"1 BTC = 352.53000000€","-1.02%"
"20",2016-01-20,"1 BTC = 355.22000000€","0.76%"
"21",2016-01-21,"1 BTC = 349.22000000€","-1.72%"
"22",2016-01-22,"1 BTC = 380.93000000€","8.32%"
"23",2016-01-23,"1 BTC = 378.66000000€","-0.6%"
"24",2016-01-24,"1 BTC = 358.23000000€","-5.7%"
"25",2016-01-25,"1 BTC = 359.76000000€","0.43%"
"26",2016-01-26,"1 BTC = 373.67000000€","3.72%"
"27",2016-01-27,"1 BTC = 363.26000000€","-2.87%"
"28",2016-01-28,"1 BTC = 361.88000000€","-0.38%"
"29",2016-01-29,"1 BTC = 363.67000000€","0.49%"
"30",2016-01-30,"1 BTC = 348.90000000€","-4.23%"
"31",2016-01-31,"1 BTC = 351.06000000€","0.62%"
"32",2016-02-01,"1 BTC = 349.27000000€","-0.51%"
"33",2016-02-02,"1 BTC = 343.26000000€","-1.75%"
"34",2016-02-03,"1 BTC = 342.57000000€","-0.2%"
"35",2016-02-04,"1 BTC = 342.95000000€","0.11%"
"36",2016-02-05,"1 BTC = 333.17000000€","-2.94%"
"37",2016-02-06,"1 BTC = 348.87000000€","4.5%"
"38",2016-02-07,"1 BTC = 344.77000000€","-1.19%"
"39",2016-02-08,"1 BTC = 336.65000000€","-2.41%"
"40",2016-02-09,"1 BTC = 335.48000000€","-0.35%"
"41",2016-02-10,"1 BTC = 331.90000000€","-1.08%"
"42",2016-02-11,"1 BTC = 333.18000000€","0.38%"
"43",2016-02-12,"1 BTC = 336.79000000€","1.07%"
"44",2016-02-13,"1 BTC = 334.10000000€","-0.81%"
"45",2016-02-14,"1 BTC = 339.84000000€","1.69%"
"46",2016-02-15,"1 BTC = 344.50000000€","1.35%"
"47",2016-02-16,"1 BTC = 357.96000000€","3.76%"
"48",2016-02-17,"1 BTC = 357.07000000€","-0.25%"
"49",2016-02-18,"1 BTC = 364.23000000€","1.97%"
"50",2016-02-19,"1 BTC = 373.62000000€","2.51%"
"51",2016-02-20,"1 BTC = 379.01000000€","1.42%"
"52",2016-02-21,"1 BTC = 376.20000000€","-0.75%"
"53",2016-02-22,"1 BTC = 394.96000000€","4.75%"
"54",2016-02-23,"1 BTC = 391.08000000€","-0.99%"
"55",2016-02-24,"1 BTC = 393.63000000€","0.65%"
"56",2016-02-25,"1 BTC = 380.85000000€","-3.36%"
"57",2016-02-26,"1 BTC = 383.31000000€","0.64%"
"58",2016-02-27,"1 BTC = 383.82000000€","0.13%"
"59",2016-02-28,"1 BTC = 391.06000000€","1.85%"
"60",2016-02-29,"1 BTC = 393.98000000€","0.74%"
"61",2016-03-01,"1 BTC = 393.28000000€","-0.18%"
"62",2016-03-02,"1 BTC = 398.29000000€","1.26%"
"63",2016-03-03,"1 BTC = 397.45000000€","-0.21%"
"64",2016-03-04,"1 BTC = 390.29000000€","-1.83%"
"65",2016-03-05,"1 BTC = 384.18000000€","-1.59%"
"66",2016-03-06,"1 BTC = 371.52000000€","-3.41%"
"67",2016-03-07,"1 BTC = 360.16000000€","-3.15%"
"68",2016-03-08,"1 BTC = 366.46000000€","1.72%"
"69",2016-03-09,"1 BTC = 375.24000000€","2.34%"
"70",2016-03-10,"1 BTC = 373.90000000€","-0.36%"
"71",2016-03-11,"1 BTC = 375.02000000€","0.3%"
"72",2016-03-12,"1 BTC = 373.03000000€","-0.53%"
"73",2016-03-13,"1 BTC = 375.71000000€","0.71%"
"74",2016-03-14,"1 BTC = 367.35000000€","-2.28%"
"75",2016-03-15,"1 BTC = 367.83000000€","0.13%"
"76",2016-03-16,"1 BTC = 373.95000000€","1.64%"
"77",2016-03-17,"1 BTC = 374.07000000€","0.03%"
"78",2016-03-18,"1 BTC = 372.32000000€","-0.47%"
